Turning points,Turning points (theory),Turning points (3 sigma interval),Turning points - entry,Kendall,Kendall (theory),Kendall (3 sigma interval),Kendall - entry
656,652.0,[612.4386552301365; 691.5613447698635],True,-0.008792812324112442,0,[-0.06400175624531591; 0.06400175624531591],True
637,632.0,[593.0500320924394; 670.9499679075606],True,-0.004199434307581407,0,[-0.06500811585702815; 0.06500811585702815],True
589,592.0,[554.3025199781206; 629.6974800218794],True,-0.007105572477597688,0,[-0.0671719914836773; 0.0671719914836773],True
